,HvC.beta,RvC.beta,HvR.beta,HvC.pval,RvC.pval,HvR.pval,HvC.FDR,RvC.FDR,HvR.FDR,HvC.FWER,RvC.FWER,HvR.FWER
ENSG00000000419,0.627478781049135,-0.426675679673916,-1.0318888544985,0.000511281687337554,0.0462304418229707,3.45143998895331e-05,0.0083784123031006,0.14571938970929,0.000946740971270145,1,1,0.113414318037006
ENSG00000000457,0.182007509988324,0.169409914610432,0.0321125680978572,0.392664656212637,0.567393885891984,0.903127341803887,0.385559155026585,0.576596166091236,0.592660216035271,1,1,1
ENSG00000000938,0.146758424545131,0.631376525805376,0.77463777422722,0.64173918328371,0.080989815218428,0.00268688645640726,0.485470798339948,0.20796534780658,0.0177076595242706,1,1,1
ENSG00000001084,0.0560462571022891,0.0940049050268916,0.222847489213919,0.890196905565593,0.827895396666019,0.531138750547362,0.566559819653612,0.665350972161819,0.481522360449734,1,1,1
ENSG00000001497,0.573396843136641,0.19851530120205,0.0100883809319605,0.00204339930749019,0.330980805860049,0.95158179376817,0.0183529949223062,0.448304644415158,0.605964301180444,1,1,1
ENSG00000002549,0.307342722906979,0.0908403249912127,-0.261004040081505,0.166324641015225,0.674446250977521,0.089589799769654,0.239898954346631,0.610745518849334,0.180231196121523,1,1,1
ENSG00000002822,0.535684879922088,-0.139783797985483,-0.68788675373722,0.0110339780450646,0.463625524299768,0.0006517203630189,0.0477800819050288,0.529435740842791,0.0071283209560652,1,1,1
ENSG00000002834,-0.0130144171484189,0.0113705951611226,0.0609947109301718,0.930579000684934,0.944985789361667,0.612822798700623,0.57691993025969,0.690339261959724,0.509809181571932,1,1,1
ENSG00000003056,0.16405928620678,-0.643349986416811,-0.649151202482052,0.248727594008445,0.0078177474767229,0.00484972302133794,0.300330814594904,0.0478492569294762,0.0268233759584195,1,1,1
ENSG00000003509,0.737167682681764,-0.731862570012475,-0.951520430683512,0.0189196838045644,0.0988636787033481,0.0399897333946059,0.0667171052234749,0.228729471275467,0.109103363244229,1,1,1
ENSG00000003756,-0.14247057249945,-0.160517877625049,-0.0599812697044774,0.476052943504937,0.520066229035029,0.787853628842305,0.4209778538214,0.55601531823441,0.562599448322366,1,1,1
ENSG00000004059,-0.0973132143542672,0.202099086487874,0.130218119521607,0.583572727638941,0.336424694436218,0.543645081657973,0.46606314975446,0.45095419869295,0.487711570778281,1,1,1
ENSG00000004142,-0.100681356771082,0.00796910925537458,0.0271739671390688,0.516944903269294,0.960710698512898,0.854465838229774,0.440207286933709,0.694633512972838,0.581633791870796,1,1,1
ENSG00000004455,-0.272347354337784,0.0296958855357122,0.795385729576222,0.0863216742205873,0.841670721045387,2.87290053682434e-05,0.161858297324664,0.668128103424238,0.000845150523790055,1,1,0.0944035116400479
ENSG00000004468,0.977742280036698,0.196423855226519,-0.0915186659853773,0.132256188317688,0.766907906113385,0.767235062615301,0.2078225514277,0.647320765504807,0.556368797271147,1,1,1
ENSG00000004478,0.0971956531492832,0.0689638913446499,-0.273011577197352,0.560485299339843,0.726997456980863,0.15046026655548,0.456510078133371,0.633981645214872,0.246497821677808,1,1,1
ENSG00000004487,-0.0850852977809836,-0.00317065184548629,0.00528907639090342,0.522946646863719,0.981246403197425,0.968398347899373,0.441653728916223,0.699044705353722,0.610736244300845,1,1,1
ENSG00000004534,0.533226816718586,-0.750906994595825,-1.18734100588307,0.00494123450958156,0.0582647070806464,0.0054933423399828,0.030983004399523,0.166748149438575,0.0288470013056858,1,1,1
ENSG00000004700,0.602758136567313,-0.0242731167418249,-0.172581606383701,0.00245644969119244,0.906413713617228,0.340368853923229,0.0207369244790536,0.684464636676327,0.391006072260952,1,1,1
ENSG00000004766,0.268357409983622,0.815091426465126,0.223739605010221,0.2326977543802,0.00847525106501787,0.340811722288033,0.288294207189507,0.0509304135257129,0.391006072260952,1,1,1
ENSG00000004779,-0.202870579860503,-0.199793898384903,-0.0847875042560242,0.365895346482469,0.362323120068543,0.586909808380391,0.371430850766177,0.467535607213635,0.499915451253252,1,1,1
ENSG00000004864,0.715409139430642,-0.0673832466431008,-0.710423890927348,0.0158435909910459,0.880237650762142,0.108167339220304,0.0592121627751617,0.679967998322547,0.202496116237549,1,1,1
ENSG00000004897,-0.0550793580674039,-0.0783901728018464,-0.0411014557964666,0.747714413793759,0.679073092778304,0.814769153155114,0.521981356269645,0.612532473288755,0.570477136100514,1,1,1
ENSG00000005007,0.0876701521520253,0.0665484070669224,-0.0016025376555604,0.649968892968143,0.751532132499396,0.990734655268724,0.488996810882905,0.643009671857084,0.615610866231504,1,1,1
ENSG00000005022,-0.114247190939049,0.212521683033302,0.305619107701935,0.497237897034562,0.281123187038732,0.0985210923110411,0.431336654903196,0.411059807040391,0.191187766169076,1,1,1
ENSG00000005100,0.549495092941282,0.0137840092684644,-0.467904751177249,0.0206307737377027,0.954493662432252,0.0134064809106722,0.0702116769536155,0.692863458515931,0.0529436940789882,1,1,1
ENSG00000005156,-0.0716224007534916,-0.0771459775634536,0.103400021509657,0.657837358968508,0.672118117249064,0.529445502883503,0.491880265144742,0.610446662729068,0.48058904227,1,1,1
ENSG00000005175,0.142527149358126,0.111251266647212,-0.269498799517219,0.460761319781228,0.633441642891336,0.244449995517762,0.413680114056195,0.59815011045423,0.329041940200092,1,1,1
ENSG00000005436,0.243816564033205,-0.145504931516334,-0.347553563580821,0.411053416136771,0.662365820297841,0.325162362676905,0.395155694669164,0.608178747980377,0.383737629892569,1,1,1
ENSG00000005810,0.583394994291154,-0.0169136908854835,-0.122217994712291,0.00163173425093275,0.929787218090516,0.538444251629825,0.0162346081324256,0.687257014439017,0.485543131618164,1,1,1
ENSG00000005844,1.06312211804145,1.46762442647426,0.500715804430672,0.00625269903098829,0.000369113539908321,0.0943854739764789,0.0352403227929728,0.00609982394308397,0.186502219457967,1,1,1
ENSG00000005893,0.100019342703114,-0.489081948605101,0.142234625080002,0.606331901302385,0.0803105076185281,0.421163694719002,0.473992014895044,0.206679802962326,0.430784061097099,1,1,1
ENSG00000006114,0.155948424784905,0.119241129064418,-0.0608465617440696,0.384725876222264,0.488318962461106,0.693692192578562,0.3823566985214,0.539486992960199,0.538639028416469,1,1,1
ENSG00000006125,-0.121439321016628,1.02878396526428,0.983295975871121,0.740840155827443,0.021889285244232,0.0501210027607715,0.52129380052847,0.090595188385576,0.124831649071854,1,1,1
ENSG00000006451,-0.192237445032283,-1.06929322795251,-0.879502094951336,0.222809450974239,2.53702371252849e-05,9.69450005631326e-05,0.28158929096756,0.00100898361741161,0.00171115811956357,1,0.0833665991936862,0.318561271850454
ENSG00000006530,-0.25708464508661,-0.173917744549762,-0.176105628084435,0.240223436367386,0.481371140800395,0.44051618011589,0.293712773201993,0.53497801465641,0.442662834305706,1,1,1
ENSG00000006712,-0.291468141723928,-0.362423150906178,-0.0953854634632531,0.124704417322683,0.161821559141901,0.715942238662135,0.200429717240607,0.305872422757326,0.544696676443339,1,1,1
ENSG00000006715,-0.0208720349138659,-1.10280627612204,-0.47580607502187,0.896854777034617,0.000118597110088052,0.0997815738109759,0.566911685750008,0.00294327261532842,0.192896174905586,1,0.389710103749339,1
ENSG00000006744,0.474377748104442,0.336475277428375,-0.460615916524197,0.0250973578665642,0.0824559859283101,0.00711537572652902,0.07971454702778,0.209252923916627,0.0350363640021993,1,1,1
ENSG00000007080,-0.0468327787896796,0.109006508570325,0.0327655445488463,0.750265188667273,0.554061603525348,0.861907078651243,0.52214980134423,0.569600968072323,0.583044187169113,1,1,1
ENSG00000007168,0.159693470480815,0.0213876521560699,0.00717117363261463,0.480859650070091,0.941855057638677,0.980808122861402,0.423671426951433,0.689694254269189,0.613272276550685,1,1,1
ENSG00000007392,-0.0122377043809397,0.511419603849284,0.283003555570711,0.970298749918055,0.109092144661897,0.238759143640413,0.586219567343232,0.241978271562687,0.3233113454736,1,1,1
ENSG00000007923,0.539857849574949,0.0408042925107857,-0.059968688609731,0.00745650540301369,0.831799689304089,0.723695468852755,0.0389829729832238,0.66709515074671,0.545728810015334,1,1,1
ENSG00000008018,0.33253384316611,-0.022193415763779,-0.279946814568503,0.00941776049656297,0.861424268962926,0.0278400223233186,0.0443604305265126,0.674328211337627,0.0868200468466353,1,1,1
ENSG00000008294,-0.426854502423525,0.348869740845557,0.266299698143013,0.0393603333293468,0.0682884312209225,0.229170779283625,0.101527904831323,0.184113054255247,0.314583097892003,1,1,1
ENSG00000008838,-0.0598180696225322,-0.34310568007004,-0.261539190845538,0.773533346149098,0.184447254566084,0.226649681562761,0.530393142216255,0.329052057438519,0.312659966710782,1,1,1
ENSG00000008869,0.10739544521257,0.858423580491433,0.552913879298196,0.583510565062208,0.00368514446195754,0.0163922467011365,0.46606314975446,0.030341256161026,0.0615040594777566,1,1,1
ENSG00000008952,0.187795367480111,-0.314082170443637,-0.126688565363716,0.289384357818756,0.230934465435131,0.513663656149268,0.32628079849916,0.374710546307009,0.471610000023332,1,1,1
ENSG00000009307,0.0781247115866419,-0.204785495687041,-0.407824488966803,0.588479377956014,0.227524503045577,0.0050518648422595,0.467880865854107,0.372012124257873,0.0274919443629952,1,1,1
ENSG00000009335,-0.432874348247106,-0.297658929799441,-0.0407085902808058,0.0197169327025076,0.166915762900811,0.817036134484445,0.0676923311353057,0.311430416239495,0.570893371156003,1,1,1
ENSG00000009844,0.222486312085113,-0.0242531409882571,-0.153569844292548,0.183543621734468,0.883555468068666,0.314416209642881,0.252057372364876,0.680438638024011,0.37686399919066,1,1,1
ENSG00000009954,0.185600357774139,0.090881569712112,-0.0410684184243902,0.29506558749527,0.59107275672269,0.797550873810357,0.329855237232421,0.58540100517322,0.565642280309362,1,1,1
ENSG00000010017,-0.166533803830009,0.693663818732238,0.899806149438358,0.441327288723954,0.00308928141751492,1.20682926013485e-05,0.405756601522805,0.0265699386539343,0.000429767471105923,1,1,0.0396564094880312
ENSG00000010165,0.717267513965359,-0.0415812372696914,-0.737790038400785,0.00172916719889912,0.833538018032904,0.000364891332160876,0.0167760373009499,0.667234407811759,0.0047478994597935,1,1,1
ENSG00000010244,0.34236284218572,0.0559686657293535,-0.0300765514255501,0.0808903348700209,0.775397509005661,0.863401028186514,0.155257066881653,0.65045236824535,0.583230414314313,1,1,1
ENSG00000010256,-0.328777382967848,0.166480842889663,0.226801891840629,0.0183891180149453,0.348023144359967,0.207087882622567,0.0651344245154629,0.459840628506256,0.297491862760918,1,1,1
ENSG00000010292,0.46910378614511,0.27415090631957,-0.117174543755377,0.00722589868044273,0.0838518669091261,0.469357212209383,0.0382906290288099,0.21133863315484,0.452599386301337,1,1,1
ENSG00000010671,-0.117371326625519,0.00723547971382862,-0.0999873070672807,0.54377374889096,0.976975725659489,0.612418876585176,0.44920007695613,0.698490686744617,0.509809181571932,1,1,1
ENSG00000011007,0.224907481490588,-0.618475394903472,-0.848993057010698,0.448379972405611,0.0350334042905108,0.00130064596592433,0.408011577650438,0.123556006019883,0.0108201140167869,1,1,1
ENSG00000011009,-0.0726808311871482,0.759275957564794,1.02587583076469,0.754756858577311,0.0030736262021109,0.000360644482401161,0.523780348337132,0.0265699386539343,0.00472291532355132,1,1,1
ENSG00000011243,-0.100153603400498,-0.0304276664637621,0.0345822759876689,0.506491518884941,0.876321818494535,0.83402350427252,0.435325798866749,0.678205515355604,0.57600908979719,1,1,1
ENSG00000011304,0.129143528533381,0.153653100380009,0.10640927999955,0.362561591876856,0.323757072940644,0.469240073231395,0.369779208051162,0.445914297051141,0.452599386301337,1,1,1
