,C18358,C18359,C3659,CPt91,R181.96,R249.97,R265.95,R290.96,H19127,H19137,H19144,H19147,chimp.expressed,rhesus.expressed,human.expressed,chimp.specific,rhesus.specific,human.specific
ENSG00000126778,16,0,153,240,0,0,0,1,0,4,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000127184,0,10,0,0,424,1202,897,478,1840,1776,1986,2566,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000127528,17,75,56,12,0,43,0,0,26,42,73,233,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000127561,31,48,3,46,67,0,0,25,2,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000127666,8,15,12,76,0,0,0,0,5,6,11,7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000127824,0,16,26,0,13,0,0,0,38,6,36,65,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000127955,1,37,23,2,442,600,390,371,1,0,4,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000128000,0,0,0,0,1,7,45,9,3,10,7,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000128039,0,0,0,13,62,23,56,72,6,24,16,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000128040,0,0,0,0,627,713,568,426,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000128271,6,72,66,257,0,0,1,0,89,54,71,117,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000128564,0,55,26,2,159,267,151,456,3,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000129195,68,208,73,77,117,0,0,47,123,157,96,210,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000129244,39,663,56,31,1,0,0,0,12,0,27,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
