,C18358,C18359,C3659,CPt91,R181.96,R249.97,R265.95,R290.96,H19127,H19137,H19144,H19147,chimp.expressed,rhesus.expressed,human.expressed,chimp.specific,rhesus.specific,human.specific
ENSG00000150779,56,57,23,44,0,0,0,0,2,5,27,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000150938,0,13,15,1,23,0,1,0,375,710,299,645,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000151748,0,15,28,14,18,0,0,13,15,14,12,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000151882,13,0,18,1,1,0,0,1,284,84,120,67,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000151963,0,0,0,0,12,46,26,26,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000152128,2,306,226,0,174,85,57,208,4,0,10,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000152229,117,515,216,274,0,0,0,2,94,117,181,34,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000152315,0,0,0,0,79,49,29,95,0,0,4,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000152518,46,22,32,1,0,0,0,55,37,79,50,82,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000152583,11,19,1222,0,0,1,1,0,3,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000152767,225,296,438,807,0,1,0,0,183,52,114,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000152932,0,6,0,0,47,76,102,85,38,24,13,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000153132,71,0,211,228,0,20,0,1,0,4,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000153233,511,16,770,20,45,0,284,115,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000153563,0,0,26,14,193,42,204,1570,0,0,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000154035,20,35,37,40,0,0,0,24,1,0,11,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000154146,15,98,85,28,0,0,0,0,93,193,274,356,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000154229,189,42,395,305,30,37,1,4,0,0,41,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000154309,0,2,8,0,1168,1008,526,423,0,0,5,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000154447,36,1,157,566,1,19,0,0,120,144,161,185,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000154582,0,0,25,0,170,76,61,97,155,145,291,203,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000154727,0,0,0,0,111,61,15,42,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000154760,87,173,239,17,0,0,23,128,190,321,371,425,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000154864,63,23,350,312,0,0,1,1,958,284,66,44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000154889,77,153,305,141,0,26,23,0,51,91,61,83,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000154928,0,0,27,0,25,1,2,17,211,189,319,799,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000155016,0,0,52,12,346,256,508,185,20,3,44,39,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000155465,38,31,41,95,0,1,0,53,130,299,420,437,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000155621,0,60,91,0,35,48,83,96,14,31,77,77,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000155962,105,66,159,1394,0,11,0,22,111,97,347,256,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000156313,13,12,16,0,11,0,0,0,22,18,24,59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000156711,163,230,330,268,13,0,21,0,46,4,51,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000156966,39,0,23,0,63,15,105,29,184,238,149,252,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000157110,0,0,9,0,0,1,1,1,128,261,91,17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000157214,0,0,11,1,1,1,0,0,87,111,126,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000157227,69,156,54,86,13,0,3,0,3,15,68,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000157510,42,0,20,0,272,368,8,215,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000157570,21,0,10,0,591,486,131,392,3,3,6,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000157870,101,357,227,195,0,18,0,22,159,111,122,109,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000158089,0,0,8,55,0,0,36,1,86,318,74,171,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000158473,0,0,0,0,938,109,79,640,4,0,30,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000158555,103,173,335,89,0,22,2,0,84,52,63,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000158571,0,0,5,0,91,66,71,31,3,0,4,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000158748,0,275,6,1,0,0,0,14,0,0,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000158828,0,69,64,12,0,0,0,0,8,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000158869,308,857,630,63,0,47,1,0,7,31,16,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000159173,13,0,23,0,1776,140,136,284,40,0,1,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000159212,0,0,0,0,0,0,0,0,27,13,31,92,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000159239,0,13,16,0,17,28,59,12,9,59,28,46,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000159445,23,120,75,69,0,0,24,0,12,12,11,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000159674,256,1567,586,100,0,34,0,22,31,12,45,55,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000160013,198,1103,463,69,1,1,0,0,72,107,120,179,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000160219,98,103,118,103,0,12,23,0,0,1,14,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000160284,32,275,99,92,0,36,0,3,141,248,41,366,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000160325,33,64,84,16,0,15,0,45,28,49,26,44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000160447,98,155,136,77,46,2,0,0,136,82,101,232,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000160678,19,0,0,0,76,164,662,157,0,0,3,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000160791,0,0,12,0,89,177,92,20,0,0,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000160856,0,35,91,0,1045,87,410,15,2,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000160867,0,1,1,1,4,0,0,0,117,206,48,83,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000161010,58,31,48,19,0,66,0,0,14,23,38,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000161249,30,50,82,55,3,0,0,14,171,178,157,195,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000161281,0,0,1,102,227,32,48,257,0,0,3,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000161649,82,342,270,236,73,132,179,92,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000161860,0,13,5,0,87,78,64,38,19,10,33,14,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000161921,12,86,60,0,0,0,0,0,2,0,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000161955,18,27,52,64,0,0,1,0,42,79,75,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000161960,57,205,306,129,0,0,0,8,9,7,14,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000162194,18,16,0,10,0,24,0,1,2,13,17,8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000162377,0,52,97,0,44,68,1,18,24,49,47,45,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000162399,1,150,4,17,0,25,3,0,7,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000162430,124,201,248,92,30,14,0,0,28,51,6,43,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000162510,2,75,99,39,0,0,0,0,0,0,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000162620,0,0,8,0,276,138,91,105,18,5,44,55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000162851,0,49,2,0,29,50,29,56,5,14,13,16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000162878,14,16,6,226,15,1,0,1,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000162999,0,0,21,0,64,13,59,52,16,0,59,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000163006,39,135,87,51,0,0,0,1,30,95,124,85,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163114,0,79,57,11,0,0,0,0,64,36,71,71,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163132,7,1,9,1,1,0,0,0,495,178,108,135,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163154,0,13,4,4,0,0,0,0,4,0,20,10,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163435,10,0,88,1,0,0,0,19,96,47,45,62,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163520,1,1,9,2,325,55,876,677,4,0,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000163563,0,0,0,1,0,2,1,0,333,53,35,702,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163564,0,1,0,10,414,1115,928,278,8,3,20,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000163687,57,411,212,984,0,1,0,0,188,200,59,40,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163704,202,231,470,812,0,2,1,0,245,165,215,278,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163754,6,0,31,0,0,143,90,105,5,8,17,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000163823,8,0,30,0,157,0,0,1,84,62,88,187,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000163909,78,42,30,99,0,0,0,0,1,0,1,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000163961,19,27,29,58,15,0,0,0,57,22,57,77,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000164047,92,39,294,13,0,0,1,1,22,49,38,28,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000164120,0,1,15,0,380,676,293,239,0,2,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000164164,0,32,74,0,39,42,38,28,37,40,54,43,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000164219,0,0,22,16,27,31,47,43,3,16,29,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000164306,0,20,27,0,12,60,11,129,15,27,81,57,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000164346,12,13,109,73,0,0,0,0,26,62,48,155,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000164366,0,0,25,15,12,53,0,1,3,13,11,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000164400,8,442,373,330,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000164458,205,16,696,22,0,0,3,0,1,11,33,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000164532,21,71,17,42,0,0,0,0,0,0,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000164610,0,17,52,0,32,60,77,110,32,14,19,46,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000164620,58,102,131,28,13,0,17,0,17,4,19,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000164647,0,0,3,14,0,0,0,0,23,47,52,21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000164687,0,0,10,0,317,508,767,407,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000164695,0,0,3,0,0,0,0,0,7,27,9,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000164741,141,1520,393,305,0,18,1,0,0,1,7,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000164920,36,249,91,0,0,0,0,20,82,162,114,43,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000164930,128,54,310,369,0,0,75,0,91,7,246,151,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000164932,21,24,21,238,0,0,26,0,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000164967,0,16,0,0,15,13,20,0,3,0,1,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000165092,15,13,697,472,19,56,49,138,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000165152,0,0,0,0,286,56,136,211,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000165169,12,1,18,49,0,0,0,0,30,24,26,10,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000165474,389,635,1339,334,0,22,3,0,42,31,73,45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000165496,52,19,43,57,0,1,2,1,0,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000165507,41,186,111,16,0,0,0,15,47,9,93,109,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000165655,9,69,52,17,0,2,0,0,47,91,68,79,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000165672,0,0,0,0,83,41,129,51,330,167,248,403,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000165752,0,16,34,201,0,0,0,14,4,23,18,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000165775,11,0,21,0,36,40,121,15,17,32,49,64,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000165948,1,9,65,27,0,0,0,0,101,108,96,121,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000165959,1,0,5,0,0,0,1,1,268,163,544,252,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000166068,24,181,98,52,0,18,0,0,13,8,15,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000166086,0,10,32,0,297,126,99,281,15,0,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000166126,10,68,15,13,97,103,119,23,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000166145,59,80,91,2,0,0,38,0,57,56,39,34,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000166530,1,0,0,0,0,0,4,0,34,22,59,25,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000166578,0,10,26,0,141,99,136,47,6,6,5,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000166676,27,54,72,238,1,0,0,0,183,95,225,254,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000166822,37,72,23,34,13,0,0,20,42,34,43,44,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000166831,0,1,7,0,194,107,74,88,1,0,5,24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000166920,0,48,10,0,30,72,60,13,9,0,1,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000166959,50,289,123,0,0,0,0,0,4,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000166961,169,382,120,70,0,17,0,0,13,13,3,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000167011,0,9,0,0,83,212,248,117,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000167186,0,12,10,0,76,33,68,140,18,19,13,40,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000167286,0,1,0,16,0,42,1153,382,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000167363,0,0,0,0,0,0,0,0,13,0,5,7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000167414,0,0,0,0,0,0,0,1,14,5,15,23,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000167434,215,144,169,193,0,1,0,0,26,0,12,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000167555,0,4,7,0,175,136,103,51,13,5,18,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000167617,3,16,8,0,13,0,0,0,107,11,4,16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000167641,19,46,12,0,0,0,0,13,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000167680,30,51,0,10,130,6,144,218,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000167693,176,208,78,21,0,0,19,12,1,8,7,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000167740,0,17,18,0,0,10,0,0,10,28,23,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000167842,34,0,53,62,0,0,0,0,23,41,41,24,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000167851,0,1,0,1,0,0,0,1,238,238,232,207,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000167985,35,10,47,0,0,0,0,0,2,2,11,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000168028,6,31,61,31,0,0,10,0,180,273,238,245,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000168070,0,88,77,140,0,0,1,0,0,0,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000168118,0,10,3,0,28,57,0,0,12,3,13,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000168259,0,0,36,13,56,0,0,42,30,33,46,23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000168496,0,21,10,0,93,33,51,23,24,25,53,67,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000168589,0,0,20,12,183,348,354,263,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000168675,180,336,488,84,0,13,0,1,235,129,69,211,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000168685,90,763,387,224,0,0,1,0,8,0,1,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000168754,0,28,14,0,276,72,154,409,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000168903,0,0,0,0,202,359,481,196,1,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000168917,0,188,26,1,0,0,1,32,8,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000168938,0,0,3,0,0,0,0,1,46,23,128,24,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000169026,1,1,1095,13,0,0,0,0,7,0,5,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000169116,0,0,18,0,0,62,0,0,183,78,85,119,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000169194,228,1797,509,74,2,27,1,0,4,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000169213,0,0,17,0,33,100,113,36,2,2,5,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000169252,0,18,8,0,430,553,316,272,0,0,17,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000169258,0,0,0,0,0,0,0,0,0,10,4,14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000169297,41,313,137,83,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000169442,0,3,0,0,0,0,0,0,8,19,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000169519,17,0,18,0,1,35,21,0,23,14,15,19,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000169612,89,246,404,164,368,480,302,263,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000169641,150,186,253,102,0,19,1,0,88,111,191,203,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000169684,0,0,9,14,0,0,0,0,45,55,48,136,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000169692,55,83,122,38,1,0,0,8,34,31,36,74,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000169740,0,0,0,0,10,0,0,0,4,18,1,12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000169750,0,142,25,21,65,17,81,46,1,7,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000169758,232,59,362,215,3,0,0,1,8,18,7,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000169860,201,108,428,234,0,0,10,0,2,23,22,32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000169908,1,31,16,0,527,3589,991,311,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000170412,113,774,185,81,0,0,3,22,157,139,97,98,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000170571,0,0,0,0,53,0,1,0,0,10,5,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000170584,284,590,827,374,31,15,0,0,292,243,424,467,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000170608,11,0,61,1,0,26,1,0,169,10,77,84,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000170743,0,1,6,15,251,429,295,535,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000170779,0,10,0,0,13,0,13,0,5,12,5,50,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000170899,48,13,140,197,0,0,0,29,22,0,22,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000170906,67,157,267,135,0,0,0,0,121,79,167,186,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000170950,1141,2513,3525,1479,0,5,0,3,12,3,10,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000170955,0,42,93,100,1,0,0,0,41,22,72,68,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000171236,128,355,300,37,0,0,0,0,550,106,41,65,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000171368,18,0,22,95,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000171428,0,44,32,0,14,150,0,71,32,14,25,61,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000171497,0,21,13,9,0,0,0,0,14,9,33,22,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000171530,0,0,0,0,0,1,0,0,221,175,273,306,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000171611,0,0,0,0,41,0,8,54,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000171700,0,84,0,0,1,40,89,26,16,8,14,13,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000171714,481,181,909,153,2,0,1,0,106,30,242,183,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000171840,13,35,72,31,0,0,0,0,25,25,35,21,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000172005,11,487,73,72,1,0,2,0,38,18,156,14,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000172465,0,0,0,0,9,0,49,0,6,6,12,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000172594,0,0,30,0,852,573,748,728,2,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000172673,31,221,214,34,9,17,0,0,8,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000172724,42,153,144,220,0,5,2,0,4,0,12,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000172752,0,32,21,0,676,1993,241,306,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000172817,147,617,601,1985,0,0,3,3,674,593,757,612,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000172830,47,685,111,124,0,11,2,0,6,15,15,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000173040,181,64,329,367,1,0,0,0,20,27,58,39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000173198,29,85,80,0,1,20,0,0,2,27,27,45,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000173207,49,102,157,38,0,0,0,0,10,9,13,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000173214,0,10,42,0,9,16,17,28,9,19,16,7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000173253,38,21,53,310,0,0,0,0,1,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000173451,13,39,54,56,0,13,0,0,32,0,13,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000173517,142,130,220,85,20,0,0,1,217,127,232,231,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000173702,0,0,7,0,0,0,0,1,17,33,40,73,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000173846,101,185,254,141,0,0,1,21,116,57,84,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000173915,0,2,22,0,0,0,0,0,96,26,80,81,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000173918,104,1266,304,149,421,185,170,161,2,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000173928,0,0,23,0,73,0,0,11,23,32,15,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000173930,0,0,33,1,126,21,163,139,62,79,25,52,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
