,HvC.beta,RvC.beta,HvR.beta,HvC.pval,RvC.pval,HvR.pval,HvC.FDR,RvC.FDR,HvR.FDR,HvC.FWER,RvC.FWER,HvR.FWER
ENSG00000000419,-0.117662482616339,-0.0865609716608465,-0.0311015109554923,0.628397796362955,0.733524214195707,0.90042145498787,0.374181856602167,0.584358196853793,0.449136938186659,1,1,1
ENSG00000000457,0.00418591915081451,0.506677553512264,-0.502491634361449,0.989261658513354,0.101993956021975,0.109242196074283,0.469898811155015,0.231050535319649,0.122722793959775,1,1,1
ENSG00000000938,-0.377907849010641,0.421938850624956,-0.799846699635597,0.573168901720664,0.520397184523266,0.232319534219821,0.355426288988103,0.502385021459398,0.200668931722797,1,1,1
ENSG00000001084,0.594363895720303,1.53747995930841,-0.943116063588112,0.386716059186993,0.0155655905668434,0.151989269242248,0.284533017846108,0.0823910043785346,0.152845183055609,1,1,1
ENSG00000001497,0.276993973511859,-0.218182535281781,0.495176508793641,0.221399052149734,0.324427872364656,0.0316781165319197,0.206060329964904,0.410058590332185,0.0547089152983512,1,1,1
ENSG00000002549,0.121448409509913,0.0258378105899508,0.0956105989199626,0.691907694044321,0.932557261864769,0.754646620856589,0.391360135663871,0.64721068445277,0.406912826358028,1,1,1
ENSG00000002822,-0.0926820844429055,0.656452905336007,-0.749134989778912,0.702553256517995,0.014985703834276,0.00503759626184698,0.394790849553073,0.0805583265505698,0.0159398575409449,1,1,1
ENSG00000002834,0.124874011688803,-0.192781185301629,0.317655196990432,0.503832237766922,0.302590973501642,0.09477079782908,0.330388898209452,0.397506263962888,0.111219279949571,1,1,1
ENSG00000003056,0.90058814946581,-0.532090537300036,1.43267868676585,7.73528586958236e-05,0.0121476900254968,4.4690317629473e-08,0.00250028413107917,0.0723700507373044,4.97268209257337e-06,0.254181493674476,1,0.000146852383730448
ENSG00000003509,0.443199461726013,-0.577499096480859,1.02069855820687,0.232030350451042,0.19774766727111,0.0175039011869572,0.212228110713145,0.331288111224979,0.0369975235064961,1,1,1
ENSG00000003756,-0.0166124732155751,0.282559510616731,-0.299171983832306,0.95995873353778,0.385258985820236,0.363843787418792,0.461572633896923,0.440877052646458,0.264783962913316,1,1,1
